FECHA (YYMMDD);HORA (HHMM);;
180829;1800;302,277;
180829;1900;52,4933;
180829;2000;25,4076;
180829;2100;58,8815;
180829;2200;283,141;
180829;2300;77,4763;
180830;0000;53,4075;
180830;0100;79,866;
180830;0200;107,841;
180830;0300;113,199;
180830;0400;104,643;
180830;0500;241,924;
180830;0600;250,349;
180830;0700;69,3362;
180830;0800;76,1613;
180830;0900;93,0178;
180830;1000;325,546;
180830;1100;279,354;
180830;1200;299,856;
180830;1300;302,909;
180830;1400;258,393;
180830;1500;269,637;
180830;1600;248,533;
180830;1700;293,438;
180830;1800;65,3583;
180830;1900;64,4835;
180830;2000;75,9958;
180830;2100;220,136;
180830;2200;267,041;
180830;2300;44,9765;
